5	0	31247.06
10	0	31248.78
15	0	31253.71
20	0	31251.22
25	0	31247.43
30	0	31246.22
35	0	31248.99
40	0	31251.69
45	0	31253.3
50	0	31257.35
55	0	31257.57
60	0	31258.87
65	0	31259.79
70	0	31262.56
75	0	31253.14
80	0	31261.12
85	0	31261.15
90	0	31260.71
95	0	31255.79
100	0	31280.99
105	0	31265.1
110	0	31265.63
115	0	31263.22
120	0	31265.07
125	0	31268.69
130	0	31269.63
135	0	31271.33
140	0	31271.87
145	0	31277.29
150	0	31273.7
155	0	31274.36
160	0	31280.45
165	0	31282.67
170	0	31283.28
175	0	31283.79
180	0	31286.69
185	0	31294.32
190	0	31293.35
195	0	31292.94
200	0	31293.53
200	5	31293.37
195	5	31292.85
190	5	31292.29
185	5	31290.56
180	5	31287.54
175	5	31288.31
170	5	31287.34
165	5	31284.18
160	5	31281.28
155	5	31280
150	5	31273.23
145	5	31273.6
140	5	31270.9
135	5	31268.21
130	5	31267.81
125	5	31264.55
120	5	31262.4
115	5	31261.57
110	5	31259.63
105	5	31260.42
100	5	31253.88
95	5	31256.95
90	5	31257.88
85	5	31256.8
80	5	31254.39
75	5	31258.79
70	5	31256.93
65	5	31256.98
60	5	31255.39
55	5	31250.95
50	5	31250.23
45	5	31247.49
40	5	31243.4
35	5	31242.75
30	5	31242.17
25	5	31228.12
20	5	31243.59
15	5	31246.36
10	5	31246.29
5	10	31241.08
10	10	31238.72
15	10	31236.09
20	10	31236.95
25	10	31239.86
30	10	31241.2
35	10	31244.21
40	10	31244.21
45	10	31246.53
50	10	31247.39
55	10	31248.39
60	10	31248.92
65	10	31249.8
70	10	31243.96
75	10	31246.85
80	10	31257.72
85	10	31256.79
90	10	31256.86
95	10	31260.84
100	10	31259.88
105	10	31264.03
110	10	31265.04
115	10	31267.62
120	10	31271.01
125	10	31275.85
130	10	31279.75
135	10	31282.11
140	10	31285.72
145	10	31288.34
150	10	31293.25
155	10	31294.15
160	10	31294.93
165	10	31296.46
170	10	31296.63
175	10	31295.32
180	10	31294.44
185	10	31295.02
190	10	31292.33
195	10	31292.96
200	10	31285.34
200	15	31280.43
